molregno,molecular_complexity,mean_standard_value
146806,6.64,0.9
147036,4.82,1000.0
147037,5.0,1000.0
147213,6.0,30.4
147214,6.15,0.9
147242,5.37,3.3
147251,5.36,13.2
147252,6.54,4.1
147469,6.37,1000.0
147773,5.2,89.0
147863,6.19,10000.0
148748,5.31,240.0
148823,5.39,660.0
148857,5.45,380.0
149342,5.58,480.0
149343,5.51,140.0
149344,5.27,160.0
149708,5.26,170.0
149758,3.38,159.5
149815,2.89,463.0
149872,4.86,5000.0
149873,3.91,681.5
149997,5.1,3000.0
150086,3.07,347.5
150096,3.57,2863.0
150214,3.69,2863.0
150280,5.49,2000.0
151674,4.02,160.0
152391,4.74,12589.25
153278,5.85,100000.0
153344,5.81,92000.0
153408,2.36,2771.0
153508,6.27,40000.0
153570,4.52,1093.0
153658,4.57,3010.0
155148,5.8,806.5
155198,5.83,1450.0
155199,5.31,41.6
155233,5.37,50.9
155234,5.54,588.0
155272,5.45,44.0
155366,4.67,359.8
155382,6.34,165.0
155383,6.27,27.4
155385,6.06,78.6
155432,5.67,465.0
155458,6.05,54.0
155461,5.83,855.0
155462,5.69,192.7
155470,5.6,1050.0
155472,5.94,4.6
155615,6.34,25.6
155678,6.53,6.9
155679,6.2,5.5
155680,5.94,4.4
155682,6.03,151.1
155726,6.2,9.1
155931,6.06,141.1
155932,6.36,65.1
155934,6.19,23.0
155980,5.94,86.0
156011,5.94,75.5
156054,5.51,281.7
156060,5.61,135.5
156109,5.81,308.5
156110,6.39,13.3
156112,6.5,11.9
156117,6.55,13.2
156147,5.68,304.5
156172,6.34,11.5
156173,6.51,12.5
156174,6.19,13.0
156175,6.14,5.5
156194,5.54,77.7
156200,6.34,11.0
156231,6.06,11.5
156275,5.78,6.9
156276,5.94,6.5
156313,5.67,3.7
156345,5.87,8.5
156346,5.82,21.2
156362,5.62,82.0
156364,5.91,7.5
156410,5.73,5.0
156412,5.78,134.0
156454,5.69,15.5
156664,4.46,278.9
156705,5.58,344.0
157152,4.52,3000.0
158184,1.82,13900.0
158303,4.08,100.0
159230,3.52,920.0
160030,3.74,386.0
160386,5.26,2000.0
160581,1.42,3000.0
161020,2.05,4000.0
161073,3.06,80.9
164416,5.03,4.0
164517,4.63,10.0
164566,5.61,30.0
164859,4.42,2800.0
165651,5.53,169.0
165690,5.54,125.0
167324,5.16,15.5
168355,3.42,42000.0
168982,5.01,4.6
171944,6.38,5000.0
172492,1.75,48500.0
172779,5.85,25025.0
175186,5.59,350.0
176134,4.49,2.5
176279,5.15,17000.0
176697,3.61,3000.0
176698,3.63,3000.0
178807,4.75,32000.0
178889,4.64,495.0
179235,7.0,3000.0
179414,4.55,36750.0
179566,4.41,50000.0
179800,6.79,8000.0
179887,4.88,79000.0
181996,5.2,7000.0
182017,5.71,1050.0
182294,3.79,6200.0
184055,4.65,100.0
184737,1.18,45000.0
186251,6.39,5000.0
186279,6.55,5000.0
187696,6.42,1514.0
187710,1.75,5140.0
188196,6.74,7950.0
190287,5.85,62000.0
190371,6.13,18000.0
190383,5.71,65000.0
190384,6.33,7000.0
190584,3.17,78000.0
190764,4.15,69.0
190772,4.55,68940.0
190806,4.58,64800.0
190891,3.52,53000.0
190899,1.57,18000.0
192825,3.95,32000.0
192923,4.27,16000.0
192925,3.28,12000.0
